City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
288,Lashio,MM,22.9333,97.75,74.77,49,0,1.88,clear sky
289,Saint-Leu,RE,-21.15,55.2833,76.03,60,1,3.76,clear sky
290,Cedar City,US,37.6775,-113.0619,26.4,74,0,0.0,clear sky
291,Egvekinot,RU,66.3167,-179.1667,28.53,99,100,4.99,snow
292,Ternate,ID,0.8,127.4,84.22,71,95,6.29,overcast clouds
293,Sparks,US,39.5349,-119.7527,37.35,60,0,5.75,clear sky
294,Vidim,RU,56.4088,103.1106,30.81,80,94,8.79,overcast clouds
295,Nioro,GM,13.35,-15.75,74.88,73,76,3.83,broken clouds
296,Sao Joao Da Barra,BR,-21.6403,-41.0511,69.98,81,96,20.07,overcast clouds
297,Noumea,NC,-22.2763,166.4572,87.78,81,100,5.44,overcast clouds
298,Maxixe,MZ,-23.8597,35.3472,69.62,88,20,0.0,few clouds
299,Luderitz,NA,-26.6481,15.1594,58.59,83,10,11.63,clear sky
300,Airai,TL,-8.9266,125.4092,77.13,50,81,2.98,broken clouds
301,Araouane,ML,18.9048,-3.5265,69.75,15,100,10.89,overcast clouds
302,Rudnya,RU,54.947,31.0934,24.93,84,15,5.53,few clouds
303,Bathsheba,BB,13.2167,-59.5167,79.63,80,64,16.37,broken clouds
304,Kaya,BF,13.0917,-1.0844,70.0,15,37,9.4,scattered clouds
305,Goma,CD,-1.6792,29.2228,62.56,97,100,1.48,moderate rain
306,Matara,LK,5.9485,80.5353,83.89,69,82,3.49,broken clouds
307,Wuwei,CN,37.9281,102.6414,46.78,27,4,11.43,clear sky
308,Yar-Sale,RU,66.8333,70.8333,3.16,93,93,8.79,overcast clouds
309,Upala,CR,10.8979,-85.0145,78.15,95,100,4.03,overcast clouds
310,Peniche,PT,39.3558,-9.3811,66.11,95,100,21.16,overcast clouds
311,Hammerfest,NO,70.6634,23.6821,37.85,52,0,3.44,clear sky
312,Simpang,ID,-1.2667,104.0833,88.03,57,91,7.49,overcast clouds
